Format,Read,Write,lazy,extension,stability,Type,Signal
Gatan’s dm3,Yes,No,Yes,dm3,untested,,
Gatan’s dm4,Yes,No,Yes,dm4,untested,,
FEI’s emi and ser,Yes,No,Yes,ser,untested,,
FEI’s emi and ser,Yes,No,Yes,emi,untested,,
HDF5,Yes,Yes,Yes,hspy,untested,,
HDF5,Yes,Yes,Yes,hdf5,untested,,
Image: jpg,Yes,Yes,Yes,jpg,untested,,
TIFF,Yes,Yes,Yes,,untested,,
MRC,Yes,No,Yes,,untested,,
MRCZ,Yes,Yes,Yes,,untested,,
EMSA/MSA,Yes,Yes,No,,untested,,
NetCDF,Yes,No,No,,untested,,
Ripple,Yes,Yes,Yes,,untested,,
SEMPER unf,Yes,Yes,Yes,,untested,,
Blockfile,Yes,Yes,Yes,,untested,,
DENS heater log,Yes,No,No,,untested,,
Bruker’s bcf,Yes,No,Yes,,untested,,
Bruker’s spx,Yes,No,No,,untested,,
EMD (NCEM),Yes,Yes,Yes,,untested,,
EMD (Velox),Yes,No,Yes,,untested,,
Protochips log,Yes,No,No,,untested,,
EDAX .spc and .spd,Yes,No,Yes,spc,broken,,EDSSEMSpectrum
EDAX .spc and .spd,Yes,No,Yes,spd,untested,,EDSSEMSpectrum
